DATA DUMP:
  data[0] = -115422872
  data[1] = 615236124
  data[2] = -129676468
  data[3] = -1175314952
  data[4] = 1623863471
  data[5] = 605280572
  data[6] = 1209526912
  data[7] = -1541407540
  data[8] = 1398721121
  data[9] = 776305894
  data[10] = -1612118195
  data[11] = 995603468
  data[12] = 272094241
  data[13] = -524512292
  data[14] = 514825840
  data[15] = 1235731124
  data[16] = -1558719646
  data[17] = 1263887309
  data[18] = -1376573948
  data[19] = -2022717419
  data[20] = 266106667
  data[21] = 1421469273
  data[22] = -1038959458
  data[23] = 449617425
  data[24] = -1452149351
  data[25] = -1713237015
  data[26] = -351017192
  data[27] = -1176967943
  data[28] = 1732360480
  data[29] = 1176415705
  data[30] = 1420558369
  data[31] = 1802771599
  data[32] = -1144005588
  data[33] = 1783561335
  data[34] = 272049591
  data[35] = 951614618
  data[36] = 232701694
  data[37] = -900759108
  data[38] = 18097017
  data[39] = 2027525011
  data[40] = 138319799
  data[41] = -1625120729
  data[42] = 43816761
  data[43] = 49663960
  data[44] = -778517770
  data[45] = 34638326
  data[46] = 1650616339
  data[47] = -1709671825
  data[48] = 1440857754
  data[49] = -469994812
  data[50] = -1378074307
  data[51] = -1605447414
  data[52] = -2095473273
  data[53] = -369763873
  data[54] = -2033730550
  data[55] = 1643406040
  data[56] = -396438523
  data[57] = 1420917712
  data[58] = -428693769
  data[59] = -1087188312
  data[60] = 1817228439
  data[61] = 393267499
  data[62] = -435267291
  data[63] = -93654195
  data[64] = -1588926487
  data[65] = -1184363911
  data[66] = -1745645579
  data[67] = -1207785326
  data[68] = -1168339397
  data[69] = -1139846738
  data[70] = 947559721
  data[71] = 875815356
  data[72] = -1224061458
  data[73] = -1743651538
  data[74] = -1948828907
  data[75] = 2072323436
  data[76] = 444325613
  data[77] = -2014383582
  data[78] = -913314958
  data[79] = -347723374
  data[80] = -2068264069
  data[81] = -716673451
  data[82] = -1946160240
  data[83] = 1656260777
  data[84] = 61027523
  data[85] = -2055810517
  data[86] = 769098448
  data[87] = 327873336
  data[88] = 1907784133
  data[89] = -887295416
  data[90] = 1638710261
  data[91] = -1596317642
  data[92] = -619908042
  data[93] = -1178234051
  data[94] = 917429646
  data[95] = 434909659
  data[96] = -1186027514
  data[97] = -1983183306
  data[98] = 1155448068
  data[99] = 1087705622
  data[100] = -818396222
  data[101] = 1783782943
  data[102] = 855872297
  data[103] = 1234386624
  data[104] = -788469909
  data[105] = 1406039206
  data[106] = 614841790
  data[107] = 1909791124
  data[108] = 419638653
  data[109] = 808168317
  data[110] = 1687105730
  data[111] = 1089830115
  data[112] = -1940858065
  data[113] = 548522986
  data[114] = 280158986
  data[115] = 510869993
  data[116] = -912821951
  data[117] = -1721567555
  data[118] = -1589993696
  data[119] = -1225696980
  data[120] = 546426952
  data[121] = -38085907
  data[122] = -758360940
  data[123] = 1568319821
  data[124] = 365570830
  data[125] = 113643365
  data[126] = 1710225514
  data[127] = -1099532470
  data[128] = -847593886
  data[129] = 288794446
  data[130] = -320821679
  data[131] = 1089337673
  data[132] = -808270160
  data[133] = 2037991625
  data[134] = 673613316
  data[135] = -889915432
  data[136] = -1899501194
  data[137] = -446417603
  data[138] = -2100529792
  data[139] = 1430009653
  data[140] = -1175496239
  data[141] = 590526013
  data[142] = -408825636
  data[143] = 807123800
  data[144] = -719445600
  data[145] = -22023738
  data[146] = -1462226893
  data[147] = 626233423
  data[148] = 212460003
  data[149] = 1145529189
  data[150] = 1379632534
  data[151] = 141700270
  data[152] = -1501661207
  data[153] = -1670392852
  data[154] = 2133339313
  data[155] = 2145836301
  data[156] = -2009354839
  data[157] = 334442962
  data[158] = 1984441864
  data[159] = -1184061172
  data[160] = -292217387
  data[161] = -1044355743
  data[162] = -2054792912
  data[163] = -1743098164
  data[164] = -824470943
  data[165] = 1447977771
  data[166] = 759159232
  data[167] = 133702991
  data[168] = 378036416
  data[169] = -937572850
  data[170] = -1525266330
  data[171] = 1101440798
  data[172] = 1905486595
  data[173] = -2052036696
  data[174] = -36905532
  data[175] = 1120015008
  data[176] = 337277123
  data[177] = 1425238041
  data[178] = 518505999
  data[179] = -1654343908
  data[180] = -114915365
  data[181] = 1576772508
  data[182] = 129634050
  data[183] = 341826509
  data[184] = 1147205439
  data[185] = -858161706
  data[186] = 1192189316
  data[187] = -1847378026
  data[188] = -1239430358
  data[189] = 52528500
  data[190] = -218413507
  data[191] = -1921603006
  data[192] = 1012122745
  data[193] = -686406798
  data[194] = -660979489
  data[195] = -553977612
  data[196] = -726758334
  data[197] = 1982954693
  data[198] = 1476352818
  data[199] = -213406846
  data[200] = -828902386
  data[201] = 2108132720
  data[202] = -2101861169
  data[203] = 1712997292
  data[204] = 597425142
  data[205] = -1801849863
  data[206] = -1540082054
  data[207] = 1901726176
  data[208] = -829306898
  data[209] = -1775773417
  data[210] = 1508006009
  data[211] = -1687340777
  data[212] = -313359740
  data[213] = -1817772243
  data[214] = 2085111990
  data[215] = -811762619
  data[216] = -1474428554
  data[217] = 1222910985
  data[218] = -967838929
  data[219] = -876588436
  data[220] = 119088501
  data[221] = -1576544114
  data[222] = -1183054271
  data[223] = 1673132053
  data[224] = 1272538162
  data[225] = 233428831
  data[226] = 855894051
  data[227] = -121259644
  data[228] = -23509321
  data[229] = -981229325
  data[230] = 1913020820
  data[231] = -702668915
  data[232] = 1023783643
  data[233] = -1616780910
  data[234] = -430711116
  data[235] = -2144619666
  data[236] = 1200596575
  data[237] = 1078979908
  data[238] = -1090591107
  data[239] = -1571887397
  data[240] = -564315259
  data[241] = 1666858339
  data[242] = 2069512245
  data[243] = -1914480094
  data[244] = 22418659
  data[245] = -1513213326
  data[246] = -1423216095
  data[247] = -1651199964
  data[248] = -1375043652
  data[249] = 302138097
  data[250] = 1796081714
  data[251] = 1211613084
  data[252] = 297561634
  data[253] = -905865585
  data[254] = -1633020784
  data[255] = 1726956146
DATA DUMP:
  data[0] = -2144619666
  data[1] = -2101861169
  data[2] = -2100529792
  data[3] = -2095473273
  data[4] = -2068264069
  data[5] = -2055810517
  data[6] = -2054792912
  data[7] = -2052036696
  data[8] = -2033730550
  data[9] = -2022717419
  data[10] = -2014383582
  data[11] = -2009354839
  data[12] = -1983183306
  data[13] = -1948828907
  data[14] = -1946160240
  data[15] = -1940858065
  data[16] = -1921603006
  data[17] = -1914480094
  data[18] = -1899501194
  data[19] = -1847378026
  data[20] = -1817772243
  data[21] = -1801849863
  data[22] = -1775773417
  data[23] = -1745645579
  data[24] = -1743651538
  data[25] = -1743098164
  data[26] = -1721567555
  data[27] = -1713237015
  data[28] = -1709671825
  data[29] = -1687340777
  data[30] = -1670392852
  data[31] = -1654343908
  data[32] = -1651199964
  data[33] = -1633020784
  data[34] = -1625120729
  data[35] = -1616780910
  data[36] = -1612118195
  data[37] = -1605447414
  data[38] = -1596317642
  data[39] = -1589993696
  data[40] = -1588926487
  data[41] = -1576544114
  data[42] = -1571887397
  data[43] = -1558719646
  data[44] = -1541407540
  data[45] = -1540082054
  data[46] = -1525266330
  data[47] = -1513213326
  data[48] = -1501661207
  data[49] = -1474428554
  data[50] = -1462226893
  data[51] = -1452149351
  data[52] = -1423216095
  data[53] = -1378074307
  data[54] = -1376573948
  data[55] = -1375043652
  data[56] = -1239430358
  data[57] = -1225696980
  data[58] = -1224061458
  data[59] = -1207785326
  data[60] = -1186027514
  data[61] = -1184363911
  data[62] = -1184061172
  data[63] = -1183054271
  data[64] = -1178234051
  data[65] = -1176967943
  data[66] = -1175496239
  data[67] = -1175314952
  data[68] = -1168339397
  data[69] = -1144005588
  data[70] = -1139846738
  data[71] = -1099532470
  data[72] = -1090591107
  data[73] = -1087188312
  data[74] = -1044355743
  data[75] = -1038959458
  data[76] = -981229325
  data[77] = -967838929
  data[78] = -937572850
  data[79] = -913314958
  data[80] = -912821951
  data[81] = -905865585
  data[82] = -900759108
  data[83] = -889915432
  data[84] = -887295416
  data[85] = -876588436
  data[86] = -858161706
  data[87] = -847593886
  data[88] = -829306898
  data[89] = -828902386
  data[90] = -824470943
  data[91] = -818396222
  data[92] = -811762619
  data[93] = -808270160
  data[94] = -788469909
  data[95] = -778517770
  data[96] = -758360940
  data[97] = -726758334
  data[98] = -719445600
