DATA DUMP:
  data[0] = 2032060776
  data[1] = 615236124
  data[2] = 2017807180
  data[3] = 972168696
  data[4] = 1623863471
  data[5] = 605280572
  data[6] = 1209526912
  data[7] = 606076108
  data[8] = 1398721121
  data[9] = 776305894
  data[10] = 535365453
  data[11] = 995603468
  data[12] = 272094241
  data[13] = 1622971356
  data[14] = 514825840
  data[15] = 1235731124
  data[16] = 588764002
  data[17] = 1263887309
  data[18] = 770909700
  data[19] = 124766229
  data[20] = 266106667
  data[21] = 1421469273
  data[22] = 1108524190
  data[23] = 449617425
  data[24] = 695334297
  data[25] = 434246633
  data[26] = 1796466456
  data[27] = 970515705
  data[28] = 1732360480
  data[29] = 1176415705
  data[30] = 1420558369
  data[31] = 1802771599
  data[32] = 1003478060
  data[33] = 1783561335
  data[34] = 272049591
  data[35] = 951614618
  data[36] = 232701694
  data[37] = 1246724540
  data[38] = 18097017
  data[39] = 2027525011
  data[40] = 138319799
  data[41] = 522362919
  data[42] = 43816761
  data[43] = 49663960
  data[44] = 1368965878
  data[45] = 34638326
  data[46] = 1650616339
  data[47] = 437811823
  data[48] = 1440857754
  data[49] = 1677488836
  data[50] = 769409341
  data[51] = 542036234
  data[52] = 52010375
  data[53] = 1777719775
  data[54] = 113753098
  data[55] = 1643406040
  data[56] = 1751045125
  data[57] = 1420917712
  data[58] = 1718789879
  data[59] = 1060295336
  data[60] = 1817228439
  data[61] = 393267499
  data[62] = 1712216357
  data[63] = 2053829453
  data[64] = 558557161
  data[65] = 963119737
  data[66] = 401838069
  data[67] = 939698322
  data[68] = 979144251
  data[69] = 1007636910
  data[70] = 947559721
  data[71] = 875815356
  data[72] = 923422190
  data[73] = 403832110
  data[74] = 198654741
  data[75] = 2072323436
  data[76] = 444325613
  data[77] = 133100066
  data[78] = 1234168690
  data[79] = 1799760274
  data[80] = 79219579
  data[81] = 1430810197
  data[82] = 201323408
  data[83] = 1656260777
  data[84] = 61027523
  data[85] = 91673131
  data[86] = 769098448
  data[87] = 327873336
  data[88] = 1907784133
  data[89] = 1260188232
  data[90] = 1638710261
  data[91] = 551166006
  data[92] = 1527575606
  data[93] = 969249597
  data[94] = 917429646
  data[95] = 434909659
  data[96] = 961456134
  data[97] = 164300342
  data[98] = 1155448068
  data[99] = 1087705622
  data[100] = 1329087426
  data[101] = 1783782943
  data[102] = 855872297
  data[103] = 1234386624
  data[104] = 1359013739
  data[105] = 1406039206
  data[106] = 614841790
  data[107] = 1909791124
  data[108] = 419638653
  data[109] = 808168317
  data[110] = 1687105730
  data[111] = 1089830115
  data[112] = 206625583
  data[113] = 548522986
  data[114] = 280158986
  data[115] = 510869993
  data[116] = 1234661697
  data[117] = 425916093
  data[118] = 557489952
  data[119] = 921786668
  data[120] = 546426952
  data[121] = 2109397741
  data[122] = 1389122708
  data[123] = 1568319821
  data[124] = 365570830
  data[125] = 113643365
  data[126] = 1710225514
  data[127] = 1047951178
  data[128] = 1299889762
  data[129] = 288794446
  data[130] = 1826661969
  data[131] = 1089337673
  data[132] = 1339213488
  data[133] = 2037991625
  data[134] = 673613316
  data[135] = 1257568216
  data[136] = 247982454
  data[137] = 1701066045
  data[138] = 46953856
  data[139] = 1430009653
  data[140] = 971987409
  data[141] = 590526013
  data[142] = 1738658012
  data[143] = 807123800
  data[144] = 1428038048
  data[145] = 2125459910
  data[146] = 685256755
  data[147] = 626233423
  data[148] = 212460003
  data[149] = 1145529189
  data[150] = 1379632534
  data[151] = 141700270
  data[152] = 645822441
  data[153] = 477090796
  data[154] = 2133339313
  data[155] = 2145836301
  data[156] = 138128809
  data[157] = 334442962
  data[158] = 1984441864
  data[159] = 963422476
  data[160] = 1855266261
  data[161] = 1103127905
  data[162] = 92690736
  data[163] = 404385484
  data[164] = 1323012705
  data[165] = 1447977771
  data[166] = 759159232
  data[167] = 133702991
  data[168] = 378036416
  data[169] = 1209910798
  data[170] = 622217318
  data[171] = 1101440798
  data[172] = 1905486595
  data[173] = 95446952
  data[174] = 2110578116
  data[175] = 1120015008
  data[176] = 337277123
  data[177] = 1425238041
  data[178] = 518505999
  data[179] = 493139740
  data[180] = 2032568283
  data[181] = 1576772508
  data[182] = 129634050
  data[183] = 341826509
  data[184] = 1147205439
  data[185] = 1289321942
  data[186] = 1192189316
  data[187] = 300105622
  data[188] = 908053290
  data[189] = 52528500
  data[190] = 1929070141
  data[191] = 225880642
  data[192] = 1012122745
  data[193] = 1461076850
  data[194] = 1486504159
  data[195] = 1593506036
  data[196] = 1420725314
  data[197] = 1982954693
  data[198] = 1476352818
  data[199] = 1934076802
  data[200] = 1318581262
  data[201] = 2108132720
  data[202] = 45622479
  data[203] = 1712997292
  data[204] = 597425142
  data[205] = 345633785
  data[206] = 607401594
  data[207] = 1901726176
  data[208] = 1318176750
  data[209] = 371710231
  data[210] = 1508006009
  data[211] = 460142871
  data[212] = 1834123908
  data[213] = 329711405
  data[214] = 2085111990
  data[215] = 1335721029
  data[216] = 673055094
  data[217] = 1222910985
  data[218] = 1179644719
  data[219] = 1270895212
  data[220] = 119088501
  data[221] = 570939534
  data[222] = 964429377
  data[223] = 1673132053
  data[224] = 1272538162
  data[225] = 233428831
  data[226] = 855894051
  data[227] = 2026224004
  data[228] = 2123974327
  data[229] = 1166254323
  data[230] = 1913020820
  data[231] = 1444814733
  data[232] = 1023783643
  data[233] = 530702738
  data[234] = 1716772532
  data[235] = 2863982
  data[236] = 1200596575
