INFO: KMSM contract open succeeded.
INFO: running with loaded data contract.
SUCCESS: Mojo-V data contract validated and loaded.
Decrypted data_contract_t fields:
  salt        = 0xa1bd51183082e0ca
  sig         = "Mojo-V ver. #001"
  sym_key_128 = 0x27a48e9de04eadbc5297fe6330cea7d6
  contract_sig= 0x5d34f1ad3b2327b3
  ciphers     = 0x0000000000000000
  format_sel  = 0 (fast)
DATA DUMP:
  data[0] = 2032060776
  data[1] = 615236124
  data[2] = 2017807180
  data[3] = 972168696
  data[4] = 1623863471
  data[5] = 605280572
  data[6] = 1209526912
  data[7] = 606076108
  data[8] = 1398721121
  data[9] = 776305894
  data[10] = 535365453
  data[11] = 995603468
  data[12] = 272094241
  data[13] = 1622971356
  data[14] = 514825840
  data[15] = 1235731124
  data[16] = 588764002
  data[17] = 1263887309
  data[18] = 770909700
  data[19] = 124766229
  data[20] = 266106667
  data[21] = 1421469273
  data[22] = 1108524190
  data[23] = 449617425
  data[24] = 695334297
  data[25] = 434246633
  data[26] = 1796466456
  data[27] = 970515705
  data[28] = 1732360480
  data[29] = 1176415705
  data[30] = 1420558369
  data[31] = 1802771599
  data[32] = 1003478060
  data[33] = 1783561335
  data[34] = 272049591
  data[35] = 951614618
  data[36] = 232701694
  data[37] = 1246724540
  data[38] = 18097017
  data[39] = 2027525011
  data[40] = 138319799
  data[41] = 522362919
  data[42] = 43816761
  data[43] = 49663960
  data[44] = 1368965878
  data[45] = 34638326
  data[46] = 1650616339
  data[47] = 437811823
  data[48] = 1440857754
  data[49] = 1677488836
  data[50] = 769409341
  data[51] = 542036234
  data[52] = 52010375
  data[53] = 1777719775
  data[54] = 113753098
  data[55] = 1643406040
  data[56] = 1751045125
  data[57] = 1420917712
  data[58] = 1718789879
  data[59] = 1060295336
  data[60] = 1817228439
  data[61] = 393267499
  data[62] = 1712216357
  data[63] = 2053829453
  data[64] = 558557161
  data[65] = 963119737
  data[66] = 401838069
  data[67] = 939698322
  data[68] = 979144251
  data[69] = 1007636910
  data[70] = 947559721
  data[71] = 875815356
  data[72] = 923422190
  data[73] = 403832110
  data[74] = 198654741
  data[75] = 2072323436
  data[76] = 444325613
  data[77] = 133100066
  data[78] = 1234168690
  data[79] = 1799760274
  data[80] = 79219579
  data[81] = 1430810197
  data[82] = 201323408
  data[83] = 1656260777
  data[84] = 61027523
  data[85] = 91673131
  data[86] = 769098448
  data[87] = 327873336
  data[88] = 1907784133
  data[89] = 1260188232
  data[90] = 1638710261
  data[91] = 551166006
  data[92] = 1527575606
  data[93] = 969249597
  data[94] = 917429646
  data[95] = 434909659
  data[96] = 961456134
  data[97] = 164300342
  data[98] = 1155448068
  data[99] = 1087705622
  data[100] = 1329087426
  data[101] = 1783782943
  data[102] = 855872297
  data[103] = 1234386624
  data[104] = 1359013739
  data[105] = 1406039206
  data[106] = 614841790
  data[107] = 1909791124
  data[108] = 419638653
  data[109] = 808168317
  data[110] = 1687105730
  data[111] = 1089830115
  data[112] = 206625583
  data[113] = 548522986
  data[114] = 280158986
  data[115] = 510869993
  data[116] = 1234661697
  data[117] = 425916093
  data[118] = 557489952
  data[119] = 921786668
  data[120] = 546426952
  data[121] = 2109397741
  data[122] = 1389122708
  data[123] = 1568319821
  data[124] = 365570830
  data[125] = 113643365
  data[126] = 1710225514
  data[127] = 1047951178
  data[128] = 1299889762
  data[129] = 288794446
  data[130] = 1826661969
  data[131] = 1089337673
  data[132] = 1339213488
  data[133] = 2037991625
  data[134] = 673613316
  data[135] = 1257568216
  data[136] = 247982454
  data[137] = 1701066045
  data[138] = 46953856
  data[139] = 1430009653
  data[140] = 971987409
  data[141] = 590526013
  data[142] = 1738658012
  data[143] = 807123800
  data[144] = 1428038048
  data[145] = 2125459910
  data[146] = 685256755
  data[147] = 626233423
  data[148] = 212460003
  data[149] = 1145529189
  data[150] = 1379632534
  data[151] = 141700270
  data[152] = 645822441
  data[153] = 477090796
  data[154] = 2133339313
  data[155] = 2145836301
  data[156] = 138128809
  data[157] = 334442962
  data[158] = 1984441864
  data[159] = 963422476
  data[160] = 1855266261
  data[161] = 1103127905
  data[162] = 92690736
  data[163] = 404385484
  data[164] = 1323012705
  data[165] = 1447977771
  data[166] = 759159232
  data[167] = 133702991
  data[168] = 378036416
  data[169] = 1209910798
  data[170] = 622217318
  data[171] = 1101440798
  data[172] = 1905486595
  data[173] = 95446952
  data[174] = 2110578116
  data[175] = 1120015008
  data[176] = 337277123
  data[177] = 1425238041
  data[178] = 518505999
  data[179] = 493139740
  data[180] = 2032568283
  data[181] = 1576772508
  data[182] = 129634050
  data[183] = 341826509
  data[184] = 1147205439
  data[185] = 1289321942
  data[186] = 1192189316
  data[187] = 300105622
  data[188] = 908053290
  data[189] = 52528500
  data[190] = 1929070141
  data[191] = 225880642
  data[192] = 1012122745
  data[193] = 1461076850
  data[194] = 1486504159
  data[195] = 1593506036
  data[196] = 1420725314
  data[197] = 1982954693
  data[198] = 1476352818
  data[199] = 1934076802
  data[200] = 1318581262
  data[201] = 2108132720
  data[202] = 45622479
  data[203] = 1712997292
  data[204] = 597425142
  data[205] = 345633785
  data[206] = 607401594
  data[207] = 1901726176
  data[208] = 1318176750
  data[209] = 371710231
  data[210] = 1508006009
  data[211] = 460142871
  data[212] = 1834123908
  data[213] = 329711405
  data[214] = 2085111990
  data[215] = 1335721029
  data[216] = 673055094
  data[217] = 1222910985
  data[218] = 1179644719
  data[219] = 1270895212
  data[220] = 119088501
  data[221] = 570939534
  data[222] = 964429377
  data[223] = 1673132053
  data[224] = 1272538162
  data[225] = 233428831
  data[226] = 855894051
  data[227] = 2026224004
  data[228] = 2123974327
  data[229] = 1166254323
  data[230] = 1913020820
  data[231] = 1444814733
  data[232] = 1023783643
  data[233] = 530702738
  data[234] = 1716772532
  data[235] = 2863982
  data[236] = 1200596575
  data[237] = 1078979908
  data[238] = 1056892541
  data[239] = 575596251
  data[240] = 1583168389
  data[241] = 1666858339
  data[242] = 2069512245
  data[243] = 233003554
  data[244] = 22418659
  data[245] = 634270322
  data[246] = 724267553
  data[247] = 496283684
  data[248] = 772439996
  data[249] = 302138097
  data[250] = 1796081714
  data[251] = 1211613084
  data[252] = 297561634
  data[253] = 1241618063
  data[254] = 514462864
  data[255] = 1726956146
  data[256] = 1616001052
  data[257] = 169649717
  data[258] = 298376223
  data[259] = 28904031
  data[260] = 2089564728
  data[261] = 1389958849
  data[262] = 1715951362
  data[263] = 1982388085
  data[264] = 286210591
  data[265] = 670679618
  data[266] = 1527183760
  data[267] = 1951956000
  data[268] = 674455710
  data[269] = 1140363382
  data[270] = 1288214528
  data[271] = 358407526
  data[272] = 1602449740
  data[273] = 1670138505
  data[274] = 1519099427
  data[275] = 1130776192
  data[276] = 1616070247
  data[277] = 1491233771
  data[278] = 1068726256
  data[279] = 794618983
  data[280] = 521286916
  data[281] = 2040378710
  data[282] = 1297693225
  data[283] = 984172415
  data[284] = 334800711
  data[285] = 1994392781
  data[286] = 496010631
  data[287] = 827213534
  data[288] = 1314309894
  data[289] = 1882416044
  data[290] = 1464160626
  data[291] = 700223551
  data[292] = 613116502
  data[293] = 87717223
  data[294] = 239407753
  data[295] = 2025381490
  data[296] = 1280372125
  data[297] = 1339606670
  data[298] = 2032635994
  data[299] = 1654480319
  data[300] = 151117771
  data[301] = 1698530098
  data[302] = 1870335961
  data[303] = 905941683
  data[304] = 1241998211
  data[305] = 144974285
  data[306] = 2047648190
  data[307] = 1748137072
  data[308] = 40206789
  data[309] = 1415442324
  data[310] = 97182820
